A1_A2_BX3,PymatgenData std_dev X,PymatgenData mean group,PymatgenData std_dev block,PymatgenData std_dev atomic_radius,PymatgenData std_dev mendeleev_no,PymatgenData std_dev melting_point,X-electro_negativity,B-radius,B-Electro-negativity,A1-radius,A2-radius,OctahedralFactor,ToleranceFactor,NEWToleranceFactor,formation energy(ev)
HA_HY_ZrCl3,0.727624061,8.571428571,0.766222405,0.506999396,18.37687888,723.4922823,3.16,109,1.33,226,220,0.602209945,0.985072895,3.518615956,3.349119636
HA_i-BuA_HfCl3,0.635006236,7.35483871,0.749741156,0.47814016,15.6063771,1632.957497,3.16,109,1.3,226,360,0.602209945,1.155753842,3.379003306,-9.797347253
HA_i-BuA_PbCl3,0.517027757,8,0.610467696,0.530300805,6.558385652,1526.535867,3.16,119,2.33,226,360,0.657458564,1.117228714,3.253584054,-0.802723997
HA_i-BuA_SnCl3,0.54235454,8,0.610467696,0.459053171,6.302173538,1526.65289,3.16,115,1.96,226,360,0.635359116,1.1323264,3.298160058,-1.169201967
HA_IM_HfCl3,0.662222938,9.25,0.702224513,0.457255474,16.25929515,1535.891849,3.16,109,1.3,226,303,0.602209945,1.086262314,3.397858587,0.553482489
HA_IM_PbCl3,0.508546905,10.08333333,0.556446788,0.513822695,6.535541504,1409.024053,3.16,119,2.33,226,303,0.657458564,1.05005357,3.303830061,-0.113006569
HA_IM_SnCl3,0.546449549,10.08333333,0.556446788,0.436625929,6.25435628,1409.222164,3.16,115,1.96,226,303,0.635359116,1.064243483,3.335318744,-0.423525663
HA_i-PA_HfCl3,0.656514888,7.571428571,0.754512021,0.486483984,16.1766929,1531.485259,3.16,109,1.3,226,307,0.602209945,1.091138912,3.395317837,2.085931922
HA_i-PA_PbCl3,0.527930558,8.285714286,0.605839251,0.541239388,6.672095168,1397.075287,3.16,119,2.33,226,307,0.657458564,1.054767615,3.298675025,0.132732951
HA_MA_PbCl3,0.553790863,9.090909091,0.595843592,0.569204781,7.025734605,937.9849275,3.16,119,2.33,226,238,0.657458564,0.973450335,3.44122905,-0.340079441
HA_MA_SnCl3,0.592486736,9.090909091,0.595843592,0.485134033,6.706880685,934.4187818,3.16,115,1.96,226,238,0.635359116,0.98660507,3.448487327,-0.534656219
HA_NH4_PbCl3,0.569768123,9.684210526,0.59093684,0.588463833,7.325753659,208.291666,3.16,119,2.33,226,170,0.657458564,0.893311567,3.788977892,-0.238491853
