StructureName,A1_Radius,A2_Radius,X_Electronegativity,B_Radius,B_Electronegativity,stddev_thermal_conductivity,stddev_mendeleev_no,stddev_X,stddev_atomic_mass,meanblock,stddev_melting_point,OctahedralFactor,ToleranceFactor,NEWToleranceFactor,GLLBSC_SOC_BandGap
FA_HY_PbI3,277,220,2.66,119,2.33,35.20795441,6.946415491,0.375377946,84.34672056,1.565217391,913.2555834,0.540909091,0.977225743,3.684785143,1.61755897
FM_DiMA_SnBr3,190,296,2.96,115,1.96,55.11553669,6.445782897,0.489475212,48.0316205,1.538461538,1405.991467,0.586734694,0.998134653,3.528783971,1.618783137
HA_Cs_PbI3,226,167,2.66,119,2.33,16.32257412,26.92649522,0.646605595,85.24069213,1.666666667,242.8387488,0.540909091,0.868760986,4.141126943,1.619636518
EA_Py_SnBr3,299,322,2.96,115,1.96,67.48983358,6.352871348,0.419917574,46.38035089,1.533333333,1774.848955,0.586734694,1.151606382,3.422691828,1.623349927
HY_Az_SnBr3,220,284,2.96,115,1.96,55.01919978,6.460730288,0.457855733,48.28439523,1.518518519,1403.308252,0.586734694,1.01859755,3.4976083,1.626487363
HY_AA_InBr3,220,300,2.96,104,1.78,49.76770251,7.546466229,0.501063276,47.56407615,1.538461538,1184.524125,0.530612245,1.074802307,3.613007054,1.626876301
GUA_TroP_HfBr3,280,333,2.96,109,1.3,70.46796516,14.59899749,0.514677299,56.22460867,1.65625,1913.024395,0.556122449,1.164987402,3.517972222,1.628697236
Py_TiZ_HgBr3,322,320,2.96,102,2,69.46169403,8.369739684,0.394183774,62.75191255,1.714285714,1836.604908,0.520408163,1.22675908,3.666571517,1.630105029
Az_MA_CdBr3,284,238,2.96,95,1.69,63.79147444,8.747293954,0.4787365,47.20801521,1.571428571,1577.620208,0.484693878,1.110473536,3.781592613,1.631623682
FA_HY_CdBr3,277,220,2.96,95,1.69,45.50507818,9.066362266,0.535923482,48.41180425,1.652173913,912.6719091,0.484693878,1.080099533,3.783501167,1.631846828
Cs_GUA_SnBr3,167,280,2.96,115,1.96,41.43158787,24.02325516,0.655310146,53.53266183,1.631578947,946.3108781,0.586734694,0.953798375,3.629161741,1.633485446
AA_MA_SnBr3,300,238,2.96,115,1.96,55.01919978,6.460730288,0.457855733,48.28439523,1.518518519,1403.308252,0.586734694,1.057249689,3.456980856,1.634174863
HY_GUA_PbI3,220,280,2.66,119,2.33,33.96030879,6.752980063,0.389773966,82.49059195,1.56,882.7690576,0.540909091,0.980354534,3.678773744,1.634958781
